user_id,Recency,Frequency,R_score,F_score,segment
100,5,8,2,5,流失风险用户
10008,1,3,4,3,潜力用户
10009,0,10,5,5,高价值用户
10020,6,1,1,2,一般用户
10021,2,1,3,2,一般用户
10024,1,6,4,5,高价值用户
10027,2,3,3,3,一般用户
10034,0,4,5,4,高价值用户
10035,6,4,1,4,流失风险用户
10044,5,2,2,3,一般用户
10045,2,1,3,2,一般用户
10049,0,1,5,2,潜力用户
10053,4,1,2,2,一般用户
10057,1,5,4,4,高价值用户
10075,4,2,2,3,一般用户
10078,1,1,4,2,潜力用户
10086,4,2,2,3,一般用户
100002,3,1,3,2,一般用户
100009,1,2,4,3,潜力用户
100030,7,4,1,4,流失风险用户
100059,6,1,1,2,一般用户
100068,3,4,3,4,流失风险用户
100075,3,2,3,3,一般用户
100088,1,2,4,3,潜力用户
100091,0,3,5,3,潜力用户
100095,4,1,2,2,一般用户
100101,0,28,5,5,高价值用户
100103,1,1,4,2,潜力用户
100105,0,3,5,3,潜力用户
100107,0,3,5,3,潜力用户
100109,4,1,2,2,一般用户
100113,4,3,2,3,一般用户
100116,0,13,5,5,高价值用户
100128,1,2,4,3,潜力用户
100134,5,14,2,5,流失风险用户
100141,1,2,4,3,潜力用户
100164,4,1,2,2,一般用户
100173,0,8,5,5,高价值用户
100177,5,3,2,3,一般用户
100184,1,1,4,2,潜力用户
100186,1,5,4,4,高价值用户
100191,2,5,3,4,流失风险用户
100197,0,2,5,3,潜力用户
100204,5,5,2,4,流失风险用户
100215,1,3,4,3,潜力用户
100225,0,2,5,3,潜力用户
100227,0,1,5,2,潜力用户
100234,5,6,2,5,流失风险用户
100242,3,5,3,4,流失风险用户
100243,0,2,5,3,潜力用户
100249,5,2,2,3,一般用户
100257,0,6,5,5,高价值用户
100259,3,1,3,2,一般用户
100261,0,2,5,3,潜力用户
100264,1,2,4,3,潜力用户
100277,6,1,1,2,一般用户
100279,0,3,5,3,潜力用户
100284,5,1,2,2,一般用户
100285,1,1,4,2,潜力用户
100292,6,2,1,3,一般用户
100294,0,5,5,4,高价值用户
100307,3,2,3,3,一般用户
100308,5,1,2,2,一般用户
100313,1,1,4,2,潜力用户
100318,0,2,5,3,潜力用户
100324,5,2,2,3,一般用户
100339,7,1,1,2,一般用户
100340,2,3,3,3,一般用户
100346,3,1,3,2,一般用户
100356,0,6,5,5,高价值用户
100357,1,2,4,3,潜力用户
100363,5,2,2,3,一般用户
100370,0,2,5,3,潜力用户
100377,0,3,5,3,潜力用户
100388,0,3,5,3,潜力用户
100395,1,2,4,3,潜力用户
100401,7,2,1,3,一般用户
100428,5,1,2,2,一般用户
100440,0,1,5,2,潜力用户
100451,0,3,5,3,潜力用户
100453,0,1,5,2,潜力用户
100477,0,6,5,5,高价值用户
100483,1,6,4,5,高价值用户
100493,4,2,2,3,一般用户
100501,4,1,2,2,一般用户
100523,5,3,2,3,一般用户
100528,0,6,5,5,高价值用户
100531,2,2,3,3,一般用户
100540,3,4,3,4,流失风险用户
100561,1,2,4,3,潜力用户
100567,3,2,3,3,一般用户
100580,4,6,2,5,流失风险用户
